NFCSID,CENSUSREG,CENSUSDIV,A3,A3Ar_w,A4A_new_w,A5_2015,A8,A7,J41_2,C1_2012,C4_2012,EA_1,A11,A9,J4,J20,J43,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G25_1,G25_4,A6,A41,J1,J3,B2
2018010133,4,9,2,2,1,7,2,3,3,1,1,2,6,3,3,1,3,0,0,0,0,0,1,0,0,1,1,2,3,6,1,1
2018010134,3,7,1,3,1,1,1,1,98,2,2,2,6,6,3,98,98,0,0,0,0,0,1,0,0,1,1,2,98,7,3,2
2018010135,3,5,2,6,1,4,5,4,3,2,1,1,5,3,2,1,3,0,0,0,0,0,1,0,0,1,1,4,3,8,1,1
2018010136,2,3,2,6,1,5,3,2,4,1,2,1,5,8,2,2,2,0,0,0,0,0,1,0,0,1,1,1,4,3,3,2
2018010137,3,5,2,1,1,6,7,2,1,1,2,2,6,2,3,2,3,1,1,0,0,0,0,0,0,1,1,2,5,4,1,1
2018010138,2,3,1,6,1,2,5,1,1,1,2,1,6,8,3,1,4,0,0,0,0,0,1,0,0,1,1,4,2,9,1,1
2018010139,4,9,1,6,1,4,7,2,5,1,1,1,5,8,2,2,2,0,0,0,0,0,1,0,0,1,1,1,3,5,3,1
2018010140,1,2,2,3,1,4,5,1,4,1,1,2,6,1,3,1,4,0,0,0,0,0,1,0,0,1,1,4,3,10,1,1
2018010141,2,3,2,2,1,4,5,2,5,1,2,2,1,4,3,3,4,1,0,0,0,0,0,0,0,1,5,1,3,6,3,1
2018010142,4,9,2,2,2,6,5,3,3,1,1,2,6,2,3,1,3,0,0,0,0,0,1,0,0,1,1,2,5,5,1,1
2018010143,4,8,2,6,1,6,8,2,1,1,1,1,5,1,3,1,4,0,0,0,0,0,1,0,0,1,1,1,6,10,3,1
2018010144,3,7,1,6,1,2,3,2,4,2,2,2,6,8,2,4,2,0,0,0,0,0,1,0,0,2,1,1,2,5,3,2
2018010145,3,7,2,4,1,3,1,4,5,2,2,1,1,2,2,4,1,0,0,0,0,0,1,0,0,2,1,4,2,1,3,2
2018010146,4,9,1,6,1,4,1,1,5,2,2,2,6,8,3,4,2,0,0,0,0,0,1,0,0,1,1,4,3,6,3,2
2018010147,2,3,2,5,1,4,4,4,5,1,2,1,4,8,2,3,2,0,0,0,0,0,1,0,0,1,1,4,3,4,1,2
2018010148,4,9,2,3,1,6,8,2,1,1,1,1,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,1,1
2018010149,4,9,2,3,1,5,5,2,5,1,2,2,2,2,2,3,3,1,0,0,0,0,0,0,0,2,1,1,4,1,2,1
2018010150,4,9,1,3,1,2,4,2,3,2,2,2,6,2,2,4,3,0,0,0,0,0,1,0,0,1,5,2,1,3,1,2
2018010151,4,9,1,3,2,6,7,2,3,1,1,1,1,2,2,4,2,0,0,0,0,0,1,0,0,1,2,1,5,8,1,1
2018010152,4,9,2,1,1,4,2,2,3,1,2,2,6,3,3,98,4,0,1,0,0,0,0,0,0,1,1,2,6,7,1,1
2018010153,4,9,1,2,1,2,3,2,5,1,2,1,1,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,8,1,1
2018010154,4,9,1,4,1,5,3,1,2,1,1,1,6,2,3,1,3,0,0,0,0,0,1,0,0,1,1,2,4,7,1,1
2018010155,4,9,2,2,1,7,8,2,1,1,1,2,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,2,6,8,1,1
2018010156,4,9,2,5,1,2,5,2,1,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,4,9,1,1
2018010157,4,9,1,1,2,1,3,3,1,98,1,98,5,5,3,99,4,0,0,0,0,0,0,1,0,98,4,2,1,98,98,1
2018010158,4,9,1,5,1,6,4,2,3,1,2,1,6,1,2,2,4,0,0,0,0,0,1,0,0,1,1,1,2,4,3,1
2018010159,1,2,1,5,1,6,3,1,3,2,2,2,6,7,2,3,3,0,0,0,0,0,1,0,0,1,1,2,5,7,3,2
2018010160,2,3,2,3,1,6,7,2,2,1,1,1,4,4,3,1,3,0,0,0,0,0,1,0,0,1,1,1,5,8,1,1
2018010161,3,7,2,6,1,4,5,2,2,2,2,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,3,98,98,1
2018010162,3,7,2,4,1,2,2,2,3,2,2,2,5,2,3,3,3,0,0,0,0,0,1,0,0,1,1,1,2,2,3,2
2018010163,2,3,2,5,1,2,5,2,2,1,1,1,5,2,2,1,2,0,0,0,0,0,1,0,0,1,1,1,5,3,3,1
2018010164,4,9,1,4,1,7,6,1,2,2,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,2,2,2,9,1,1
2018010165,4,8,2,5,1,2,3,2,3,1,2,1,5,4,3,2,3,0,0,0,0,0,1,0,0,1,1,1,5,99,3,1
2018010166,1,2,1,4,1,2,3,2,3,1,2,1,5,2,2,3,1,0,0,0,0,0,1,0,0,1,1,1,2,4,3,2
2018010167,4,9,1,5,1,7,8,2,1,1,1,1,5,2,3,2,3,0,0,0,0,0,1,0,0,1,1,1,2,8,1,1
2018010168,1,2,1,5,2,7,7,2,4,1,2,1,1,2,2,1,3,0,0,0,0,0,1,0,0,1,1,1,6,7,2,2
2018010169,3,5,2,5,2,2,5,2,4,2,2,2,6,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,4,6,3,1
2018010170,1,2,1,5,1,3,3,2,4,2,2,2,5,6,2,4,2,0,0,0,0,0,1,0,0,1,1,1,98,2,2,2
