,PUF_ID,agecat,PPEDUC,PPETHM,PPGENDER,PPINCIMP,PPHHSIZE,fpl,PPREG4,PPREG9,FWB1_1,FWB1_5,FS2_3,SUBKNOWL1,ACT1_2,PROPPLAN_3,PROPPLAN_1,MANAGE1_2,MANAGE1_1,MANAGE1_3,SAVEHABIT,AUTOMATED_1,AUTOMATED_2,SAVINGSRANGES,HOUSING,HOUSERANGES,MORTGAGE,PRODHAVE_8,PRODUSE_1,PRODUSE_2,FWBscore,FSscore
78,8309,6,3,1,2,4,1,3,3,5,3,3,3,-1,3,3,4,1,4,5,5,1,1,99,1,99,99,0,0,0,49,37
79,8948,8,4,1,2,9,2,3,2,3,5,1,2,5,5,4,5,5,5,5,5,7,1,7,1,1,1,0,0,0,83,60
80,11223,3,4,1,1,8,4,3,3,6,4,1,3,5,4,5,5,4,5,5,6,1,1,6,1,5,2,0,0,0,70,67
81,14078,7,4,1,1,7,2,3,3,6,4,1,2,6,4,4,4,5,5,5,6,0,0,7,1,5,1,0,0,0,72,57
82,10551,5,5,1,2,9,1,3,1,2,3,2,2,5,5,5,5,4,5,4,5,1,1,5,1,7,3,0,0,0,55,55
83,7994,2,4,1,1,6,3,3,2,3,3,2,2,6,3,4,4,3,5,4,6,1,1,4,1,5,2,1,0,0,59,58
84,8949,6,5,1,2,8,2,3,3,5,3,3,2,5,4,4,3,4,5,5,5,1,1,7,1,5,1,0,0,0,67,51
85,7995,3,2,1,1,1,5,1,4,9,5,5,5,6,5,4,4,5,5,5,6,0,0,2,2,1,-2,0,0,0,26,79
86,10552,8,2,1,2,8,2,3,1,2,4,3,3,5,5,4,4,5,5,5,5,-1,1,5,1,99,1,0,0,0,55,42
87,11224,8,5,1,1,9,2,3,4,8,5,1,2,7,5,5,5,5,5,5,6,7,7,5,1,1,1,0,0,0,86,77
88,8519,6,4,1,1,8,2,3,2,3,4,1,1,5,4,4,4,4,5,5,6,1,0,5,1,1,1,0,0,0,78,46
89,7225,3,4,1,2,9,3,3,3,5,5,1,3,4,4,5,3,5,5,5,6,1,1,7,2,7,-2,0,0,0,66,59
90,9916,7,4,1,1,4,3,3,3,5,4,2,2,4,3,2,3,4,5,5,5,7,7,99,1,1,99,0,0,0,62,46
91,11225,2,5,1,2,9,4,3,2,4,4,2,3,5,4,4,5,4,5,5,6,1,1,7,1,6,2,0,0,0,62,56
92,10131,5,2,1,1,5,2,3,3,5,3,4,3,4,3,3,4,2,3,2,4,7,7,-1,1,99,99,0,0,0,47,42
93,9435,7,2,1,2,3,2,3,2,3,4,2,3,5,5,5,3,5,5,5,5,7,7,7,1,99,99,0,0,0,72,64
94,8715,4,5,4,1,9,3,3,3,5,3,2,2,5,2,4,4,5,5,5,6,7,0,5,3,99,-2,0,0,0,50,41
95,11226,8,2,1,1,2,2,2,1,2,4,2,2,6,4,5,5,5,5,5,5,0,0,99,1,1,-1,0,0,0,77,57
96,13232,6,4,1,1,8,2,3,3,7,4,2,2,5,5,3,2,5,5,4,6,1,1,6,1,1,1,0,0,0,67,62
97,11925,4,5,1,2,8,3,3,1,1,2,2,4,2,2,1,1,3,3,1,1,7,7,98,1,5,2,1,0,0,40,32
98,8310,3,5,1,2,8,3,3,3,7,4,2,3,4,4,4,2,4,5,5,4,0,0,6,1,5,2,0,0,0,61,48
99,11831,2,2,1,2,6,2,3,4,9,3,2,3,5,4,5,5,4,4,3,3,7,7,99,2,4,-2,0,0,0,59,59
100,9436,4,3,1,1,4,2,3,1,1,1,5,4,4,3,3,3,1,4,1,1,0,0,1,2,6,-2,0,0,0,16,39
101,12015,6,3,1,1,5,1,3,4,8,4,1,3,5,4,4,4,5,5,5,6,0,1,6,1,1,1,0,0,0,66,47
102,12780,6,5,1,1,9,2,3,2,4,3,4,2,4,3,4,3,4,4,4,4,1,1,5,1,7,3,0,0,0,57,44
103,8950,5,5,1,1,6,2,3,1,1,3,2,2,7,4,5,5,5,5,4,5,1,0,5,1,2,2,1,0,0,58,67
104,11227,6,3,1,2,1,1,2,3,6,1,3,2,6,4,4,3,5,5,5,5,0,1,3,2,2,-2,0,0,0,64,82
105,9437,4,5,1,2,9,5,3,4,9,4,2,3,5,4,4,4,5,5,5,5,1,7,5,1,6,3,0,0,0,63,52
106,10554,5,3,1,1,7,2,3,2,3,4,4,3,5,4,4,4,4,5,2,4,1,0,5,1,1,1,0,0,0,55,49
107,10132,4,2,4,2,7,2,3,3,7,4,2,3,5,3,4,4,4,5,4,4,1,1,6,1,5,2,1,0,0,66,46
108,11083,6,1,1,2,2,5,1,4,9,1,5,3,5,4,4,4,3,4,1,1,7,7,1,2,3,-2,0,0,0,38,40
109,7380,2,5,1,1,8,4,3,3,7,5,2,2,6,4,4,5,4,5,5,6,1,1,5,1,5,2,1,0,0,70,56
110,8520,2,2,1,2,7,4,3,3,5,1,2,4,3,2,4,4,2,2,1,2,0,0,1,2,5,-2,0,0,0,38,25
111,12752,1,1,2,2,1,4,1,2,3,2,3,2,6,5,5,4,4,5,1,5,0,0,98,2,3,-2,0,0,0,55,58
112,10760,7,3,1,2,6,2,3,3,5,4,2,3,4,4,3,2,4,5,5,4,0,0,6,1,3,2,0,0,0,64,51
113,12235,2,5,1,2,8,1,3,4,9,3,2,3,5,4,5,4,4,5,5,6,1,1,4,1,6,3,0,0,0,55,49
114,9438,7,3,1,1,8,2,3,1,2,4,2,2,6,4,4,4,5,5,5,5,0,1,5,1,5,3,0,0,0,70,57
115,7316,1,3,1,2,9,4,3,3,5,5,2,1,5,5,5,5,5,5,5,6,7,1,5,3,4,-2,0,0,0,62,70
116,12354,5,2,1,2,8,4,3,1,2,2,3,3,4,3,4,4,4,4,2,1,0,0,4,1,1,2,0,0,0,52,44
117,12640,8,2,1,1,3,1,3,4,8,4,4,2,5,3,4,4,4,5,5,5,-1,1,5,1,1,1,0,0,0,60,47
118,8716,4,5,1,1,9,3,3,4,8,4,2,2,6,4,4,5,5,5,5,6,1,0,5,1,7,3,0,0,0,53,66
119,12299,8,3,4,1,7,1,3,3,7,5,4,2,7,5,5,4,5,5,5,6,0,0,99,1,98,99,0,0,0,78,69
120,8311,2,5,1,1,9,3,3,4,9,4,2,1,6,5,5,3,5,5,5,5,1,1,4,3,1,-2,0,0,0,70,69
121,13637,1,3,3,2,1,3,1,2,4,1,4,2,3,3,4,4,4,5,1,5,7,0,2,2,3,-2,0,0,0,41,41
122,8951,4,3,2,2,1,2,2,3,6,3,3,1,7,4,5,5,4,4,1,3,0,0,2,2,3,-2,0,0,0,59,70
123,9185,6,2,1,1,3,3,2,3,7,2,4,2,4,3,3,4,4,4,4,3,0,0,98,2,3,-2,0,0,0,47,41
124,13478,8,5,1,1,7,2,3,1,2,4,2,2,6,4,5,5,5,5,5,5,7,1,6,1,1,1,0,0,0,60,60
125,9439,1,4,1,1,8,2,3,1,2,5,1,1,6,5,5,5,5,5,5,6,1,1,5,2,5,-2,0,0,0,75,80
126,9917,6,2,1,1,7,3,3,4,9,4,2,3,3,3,3,3,4,4,4,5,7,1,5,1,1,1,0,0,0,57,49
127,8717,7,2,1,2,6,2,3,1,1,4,2,2,5,4,4,4,4,5,3,5,0,0,5,1,1,1,0,0,0,60,52
128,9186,4,5,1,1,8,3,3,2,3,5,2,2,6,4,4,3,4,5,5,6,0,0,5,1,5,2,0,0,0,62,58
