PUF_ID,PPREG4,PPREG9,PPGENDER,agecat,PPETHM,PPEDUC,PPINCIMP,PPHHSIZE,FWB1_5,AUTOMATED_1,HOUSING,KIDS_NoChildren,KIDS_1,KIDS_2,KIDS_3,KIDS_4,EMPLOY,ENDSMEET,FWB1_1,ACT1_2,PRODHAVE_8,PRODUSE_2,PPMARIT,HHEDUC,PAREDUC,HOUSESAT,SWB_1,MANAGE1_2,AUTOMATED_2
13692,4,9,2,6,1,5,9,2,1,7,1,1,0,0,0,0,8,1,5,5,0,0,1,5,1,4,6,5,0
12223,2,4,2,8,1,2,2,1,1,7,1,1,0,0,0,0,8,1,4,4,0,0,3,2,5,4,7,4,7
11326,3,5,1,8,1,3,6,1,4,1,1,1,0,0,0,0,8,2,3,3,0,0,2,3,3,3,4,4,1
11201,3,7,1,4,1,4,9,4,5,1,1,0,0,0,2,0,2,1,3,3,0,0,1,4,4,4,6,3,0
9388,2,3,1,8,1,4,3,2,3,0,1,1,0,0,0,0,3,2,3,4,0,0,1,4,4,3,6,5,0
10087,1,1,2,8,3,5,9,1,5,1,2,1,0,0,0,0,8,1,4,4,0,0,2,5,1,3,5,5,1
12742,3,7,1,3,1,2,2,2,1,0,2,1,0,0,0,0,2,1,3,4,0,0,1,2,2,4,6,4,0
12076,4,9,1,8,4,4,5,1,1,0,1,-1,0,0,0,0,8,1,4,4,0,0,3,4,3,3,5,5,0
12224,4,9,2,8,1,2,3,1,2,7,1,1,0,0,0,0,8,1,4,5,0,0,3,2,2,3,6,1,0
10512,4,8,1,3,1,3,8,2,1,1,1,1,0,0,0,0,2,1,4,3,0,0,1,5,3,4,7,4,1
12145,2,3,2,8,1,2,1,1,3,7,2,1,0,0,0,0,8,2,3,4,0,0,2,2,2,4,4,4,7
10513,3,7,2,8,1,2,7,2,4,7,1,1,0,0,0,0,8,1,4,4,0,0,1,3,2,4,7,5,7
10089,3,5,2,6,1,3,2,5,2,7,1,0,0,1,2,0,8,1,3,4,0,0,1,5,5,4,6,4,0
8904,3,5,2,4,1,5,8,2,2,1,1,0,0,0,0,1,8,1,4,4,0,0,1,5,5,4,5,5,0
7961,3,5,2,3,1,4,8,3,1,1,1,0,0,2,0,0,2,1,5,4,0,0,1,4,4,4,7,4,7
11202,1,2,1,6,1,5,6,1,3,0,1,1,0,0,0,0,8,1,3,4,0,0,3,5,2,4,5,4,1
12773,3,5,2,5,1,3,6,2,4,1,1,1,0,0,0,0,2,2,2,5,0,0,1,3,3,4,6,4,1
11604,4,9,2,5,1,3,1,1,3,7,1,1,0,0,0,0,8,2,2,4,0,0,3,3,3,4,6,5,7
12919,1,2,2,4,1,3,8,2,3,0,1,1,0,0,0,0,2,1,3,4,0,0,1,3,3,3,5,5,0
12504,3,5,2,1,4,3,2,3,3,7,2,0,1,0,0,0,5,2,1,3,1,0,5,3,3,4,7,3,1
12146,3,6,1,7,2,3,4,1,4,0,1,1,0,0,0,0,8,2,4,3,0,0,2,3,3,2,5,4,0
9141,4,9,2,5,1,4,8,3,2,1,1,0,0,0,0,1,3,1,4,4,0,0,1,5,5,4,6,4,1
12743,4,9,1,8,1,4,7,2,2,1,1,1,0,0,0,0,8,1,4,4,0,0,1,4,3,4,6,4,0
10872,2,3,2,8,1,2,2,1,3,1,1,-1,0,0,0,0,8,2,3,3,0,0,2,2,2,4,5,4,0
13343,4,9,1,6,4,3,9,3,1,1,1,1,0,0,0,0,2,1,5,5,0,0,1,3,1,3,7,5,-1
10873,2,3,2,1,4,1,3,5,3,7,1,0,0,1,1,1,4,2,2,3,0,0,1,3,1,2,6,4,0
10874,2,4,1,5,1,3,9,2,1,1,1,1,0,0,0,0,2,1,4,4,0,0,1,3,2,4,6,4,0
9646,2,4,2,8,1,3,7,2,1,7,1,-1,0,0,0,0,8,1,4,5,0,0,1,4,4,4,7,5,7
11902,4,9,1,2,4,3,6,2,3,7,2,1,0,0,0,0,2,1,3,5,0,0,3,3,2,4,7,4,1
10090,2,3,2,4,1,5,9,4,2,7,1,0,0,2,0,0,4,1,3,2,0,0,1,5,5,3,5,3,0
11707,1,2,2,6,1,3,9,1,1,1,1,0,0,0,0,1,2,1,4,3,0,0,3,3,3,4,6,1,1
8678,4,9,2,5,3,3,4,1,3,0,1,1,0,0,0,0,8,2,3,4,0,0,3,3,3,4,4,5,0
10309,3,5,1,4,1,5,7,3,5,0,1,0,0,0,2,1,2,3,2,3,0,0,1,5,5,2,5,3,1
8679,1,2,1,1,1,2,2,2,3,7,3,1,0,0,0,0,3,2,3,2,0,0,4,3,2,3,5,2,7
8680,2,4,1,4,1,1,6,2,2,1,1,0,0,0,1,0,2,1,4,3,0,0,3,1,2,3,6,4,7
10091,3,7,2,7,1,3,6,1,1,1,1,1,0,0,0,0,8,1,3,4,0,0,3,3,3,4,6,4,1
12225,3,5,1,2,1,4,6,1,3,1,1,1,0,0,0,0,2,1,4,4,0,0,3,4,4,4,6,4,1
7962,3,5,2,8,4,2,2,1,3,7,2,-1,0,0,0,0,8,2,3,3,0,0,2,2,2,3,4,3,7
13516,2,4,2,4,1,1,1,2,4,0,2,1,0,0,0,0,4,2,1,3,0,0,3,-1,1,3,3,4,0
8481,3,7,2,6,1,4,7,1,2,7,1,1,0,0,0,0,1,1,4,3,0,0,3,4,4,4,7,3,7
8681,4,8,1,2,1,3,5,4,2,7,2,0,2,0,0,0,3,1,4,4,0,0,1,3,3,2,5,5,1
12288,2,4,2,6,1,2,7,3,4,0,1,1,0,0,0,0,8,1,3,3,0,0,1,4,2,4,5,4,1
9389,1,2,2,3,2,4,7,2,3,0,2,1,0,0,0,0,2,3,3,4,0,0,1,4,4,4,6,3,0
13003,4,9,1,8,1,5,8,2,1,0,1,1,0,0,0,0,8,1,4,5,0,0,1,5,5,4,5,5,1
9648,2,3,1,3,1,4,8,5,4,1,1,0,2,1,0,0,2,3,1,2,0,0,1,4,4,3,3,3,1
11605,1,1,1,3,1,2,2,5,4,7,2,0,0,0,1,2,1,3,2,5,0,0,1,2,2,3,3,5,7
13135,3,7,2,8,2,3,7,1,-1,-1,-1,1,0,0,0,0,8,-1,-1,4,0,0,1,3,3,-1,6,3,-1
7308,4,9,1,3,4,2,7,3,4,1,1,0,0,1,0,0,2,1,4,3,0,0,1,2,2,3,4,3,0
13773,2,4,1,8,2,2,1,1,3,7,2,1,0,0,0,0,8,1,3,4,0,0,2,2,1,3,7,4,7
13799,1,2,1,8,1,1,3,2,3,0,1,0,0,0,0,2,8,1,3,3,0,0,1,2,2,4,7,5,1
11203,4,9,1,8,1,4,9,2,1,0,2,1,0,0,0,0,8,1,5,4,0,0,1,4,4,4,7,4,1
12920,4,8,2,8,3,3,6,1,1,7,1,1,0,0,0,0,8,1,5,4,0,0,3,4,4,4,5,4,7
10707,4,8,2,3,1,3,4,5,3,7,1,0,2,1,1,0,4,2,1,3,1,0,1,4,3,4,5,4,0
10708,2,4,2,2,2,2,1,2,4,7,2,0,0,1,0,0,2,1,3,4,0,0,4,3,3,2,5,4,7
13016,2,3,2,2,4,2,3,4,3,7,1,0,1,1,0,0,99,2,3,5,0,0,1,2,2,2,-1,5,1
9390,4,8,1,3,1,4,9,4,2,1,1,0,2,0,0,0,2,-1,4,4,0,0,1,4,4,4,5,4,1
8097,1,1,2,1,1,3,8,4,1,0,3,-1,0,0,0,0,3,1,3,5,1,0,4,3,3,4,7,5,1
11049,3,7,2,7,4,2,1,1,3,0,1,1,0,0,0,0,8,3,5,5,0,0,3,2,2,4,7,3,0
13377,2,3,2,6,2,1,2,3,3,7,2,1,0,0,0,0,8,2,2,4,0,0,2,1,1,3,6,4,0
12147,3,5,2,1,4,2,4,2,5,7,2,1,0,0,0,0,7,1,1,3,0,0,3,3,2,2,2,4,7
11050,2,4,1,6,1,2,3,2,4,7,1,1,0,0,0,0,8,2,2,3,0,0,1,3,2,3,5,3,7
12340,3,7,1,4,1,4,9,2,2,1,1,1,0,0,0,0,2,1,4,4,0,0,1,4,4,4,4,4,1
8905,3,7,2,3,1,5,9,4,1,1,1,0,2,0,0,0,4,1,5,4,0,0,1,5,5,4,6,5,1
11327,2,4,2,6,1,2,2,2,3,1,1,1,0,0,0,0,3,1,2,4,0,0,1,2,2,4,3,3,1
8269,3,6,2,5,1,4,8,2,3,1,1,-1,0,0,0,0,2,2,3,3,0,0,4,4,4,4,4,3,0
7359,2,3,2,2,1,2,1,2,5,7,2,1,0,0,0,0,6,2,3,4,0,0,3,2,2,1,4,4,7
8906,4,9,1,5,4,5,9,2,1,1,1,-1,0,0,0,0,1,1,4,4,0,0,1,5,2,4,6,5,1
13136,1,2,2,5,2,3,6,3,2,0,1,-1,0,0,0,0,6,1,4,3,0,0,3,3,2,2,5,4,1
14041,2,3,2,7,1,2,4,2,2,0,1,1,0,0,0,0,8,1,3,4,0,0,1,2,2,4,7,5,1
10514,2,3,2,2,1,2,2,3,4,1,2,0,1,0,0,0,2,3,2,3,0,0,5,3,2,2,4,3,7
9649,4,9,1,6,3,5,9,1,2,1,2,1,0,0,0,0,1,1,4,3,0,0,4,5,5,3,5,3,1
12077,2,3,1,3,1,3,7,3,1,7,3,1,0,0,0,0,7,1,2,3,0,0,4,4,4,2,2,3,7
12341,4,8,1,6,4,4,7,2,3,1,1,-1,0,0,0,0,8,1,3,3,0,0,1,4,1,4,5,3,1
10310,4,9,2,1,2,3,4,5,3,7,3,-1,0,0,0,0,99,1,4,4,0,0,4,-1,-1,-1,5,4,1
11471,3,5,1,6,1,3,8,1,2,1,1,1,0,0,0,0,2,1,3,4,0,0,1,3,3,4,7,3,1
10092,1,1,2,4,4,4,3,3,1,1,1,1,0,0,0,0,1,1,5,5,0,0,3,4,4,2,4,5,1
9883,4,9,2,7,1,3,6,1,3,0,1,1,0,0,0,0,8,2,3,3,0,0,2,3,3,3,4,4,0
10311,3,7,1,4,2,3,7,3,3,0,1,0,0,0,0,1,2,2,3,5,0,0,1,4,3,4,6,4,0
8270,4,9,1,5,1,4,8,2,1,0,1,0,0,0,0,2,2,1,3,4,0,0,1,4,4,4,6,4,0
12148,4,9,2,4,4,3,7,5,3,1,1,0,0,0,0,2,2,1,3,4,1,0,1,3,3,4,5,5,1
8482,1,2,1,7,1,2,9,2,1,7,1,1,0,0,0,0,8,1,5,5,0,0,1,5,3,4,7,5,7
13191,3,7,1,2,1,4,3,1,1,0,2,1,0,0,0,0,2,1,5,5,0,0,1,5,4,3,6,5,1
9650,3,7,1,4,4,4,9,3,5,1,1,0,0,0,0,2,2,1,5,5,0,0,1,4,4,3,7,5,0
8907,4,9,1,6,1,3,5,2,3,0,1,1,0,0,0,0,1,1,3,4,0,0,1,3,3,4,6,4,0
13759,3,7,2,7,2,5,7,1,2,1,2,1,0,0,0,0,2,1,3,4,0,0,3,4,4,4,7,4,1
11807,3,5,2,4,2,3,8,2,2,0,1,1,0,0,0,0,8,1,3,4,0,0,3,3,3,3,4,3,0
12149,3,5,1,2,3,3,8,3,2,1,1,0,1,0,0,0,5,1,3,4,0,0,1,5,3,3,5,4,1
12804,3,7,2,6,1,3,7,2,1,7,1,0,0,0,0,1,8,1,5,4,0,0,1,3,2,4,7,5,1
9884,4,9,2,4,1,4,9,2,2,1,1,1,0,0,0,0,2,1,3,3,0,0,1,4,5,4,7,4,0
12629,3,5,1,5,4,2,7,2,2,1,1,1,0,0,0,0,2,1,2,3,0,0,1,2,2,3,6,3,1
11808,2,3,2,6,1,2,2,1,2,0,3,1,0,0,0,0,8,1,1,1,0,0,1,2,2,4,5,3,0
13620,1,2,1,3,3,3,5,1,4,1,1,1,0,0,0,0,2,1,1,4,0,0,4,5,3,4,7,4,1
13972,4,9,2,6,3,4,8,1,4,0,2,-1,0,0,0,0,8,1,3,4,0,0,1,4,4,4,4,4,1
11204,4,9,1,2,1,3,6,4,1,0,1,0,2,0,0,0,1,1,4,4,0,0,1,4,3,4,6,5,0
8908,3,7,1,3,1,5,7,4,4,1,1,0,0,1,1,0,2,2,3,3,1,0,1,5,4,3,6,4,0
